Publication_Name,Quartile,Field,CiteScore
journal of phenomenological psychology,Quartile 3,Other,0.79
journal of philosophical logic,Quartile 1,Other,1.05
journal of philosophical research,Quartile 2,Other,0.39
journal of philosophy,Quartile 1,Other,0.87
journal of philosophy arhe,Quartile 4,Other,0.03
journal of philosophy of education,Quartile 1,Other,0.98
journal of phonetics,Quartile 1,Other,2.35
journal of photochemistry and photobiology a: chemistry,Quartile 1,NS,3.22
journal of photochemistry and photobiology b: biology,Quartile 1,NS,3.92
journal of photochemistry and photobiology c: photochemistry reviews,Quartile 1,NS,13.51
journal of photonics for energy,Quartile 2,NS,2.15
journal of photopolymer science and technology,Quartile 3,NS,0.86
journal of phycology,Quartile 1,NS,2.78
journal of physical activity and health,Quartile 2,NS,2.12
journal of physical agents,Quartile 4,NS,0.33
journal of physical and chemical reference data,Quartile 1,NS,4.14
journal of physical chemistry a,Quartile 2,NS,2.78
journal of physical chemistry b,Quartile 1,NS,3.03
journal of physical chemistry c,Quartile 1,NS,4.45
journal of physical chemistry letters,Quartile 1,NS,7.91
journal of physical education (maringa),Quartile 4,Other,0.22
journal of physical education and sport,Quartile 2,NS,1.29
journal of physical oceanography,Quartile 1,NS,3.16
journal of physical organic chemistry,Quartile 3,NS,1.33
journal of physical science,Quartile 3,NS,0.79
journal of physical studies,Quartile 4,NS,0.42
journal of physician assistant education,Quartile 3,NS,0.34
journal of physics a: mathematical and theoretical,Quartile 1,Other,1.94
journal of physics and chemistry of solids,Quartile 1,NS,2.6
"journal of physics b: atomic, molecular and optical physics",Quartile 2,NS,1.86
journal of physics condensed matter,Quartile 1,NS,2.77
journal of physics g: nuclear and particle physics,Quartile 1,NS,2.95
journal of physics: conference series,Quartile 4,NS,0.51
journal of physiological anthropology,Quartile 1,Other,1.59
journal of physiological sciences,Quartile 2,NS,2.63
journal of physiology,Quartile 1,NS,3.54
journal of physiology and biochemistry,Quartile 2,NS,2.69
journal of physiology and pharmacology,Quartile 2,NS,2.36
journal of physiotherapy,Quartile 2,NS,1.93
journal of phytopathology,Quartile 2,NS,1.14
journal of pidgin and creole languages,Quartile 2,Other,0.65
journal of pineal research,Quartile 1,NS,13.76
journal of pipeline systems engineering and practice,Quartile 2,NS,1.64
journal of place management and development,Quartile 2,EC,1.55
journal of planar chromatography - modern tlc,Quartile 4,NS,0.64
journal of plankton research,Quartile 1,NS,2.24
journal of planning and environment law,Quartile 4,Other,0.06
journal of planning education and research,Quartile 1,Other,2.58
journal of planning history,Quartile 3,Other,0.68
journal of planning literature,Quartile 1,Other,4.47
journal of plant biochemistry and biotechnology,Quartile 2,NS,1.09
journal of plant biology,Quartile 2,NS,1.59
journal of plant biotechnology,Quartile 4,NS,0.43
journal of plant diseases and protection,Quartile 2,NS,0.97
journal of plant ecology,Quartile 1,NS,2.15
journal of plant growth regulation,Quartile 1,NS,2.64
journal of plant interactions,Quartile 1,NS,2.2
journal of plant nutrition,Quartile 3,NS,0.84
journal of plant nutrition and soil science,Quartile 2,NS,2.02
journal of plant pathology,Quartile 4,NS,0.45
journal of plant physiology,Quartile 1,NS,3.33
journal of plant protection research,Quartile 2,NS,1.03
journal of plant registrations,Quartile 3,NS,0.68
journal of plant research,Quartile 1,NS,2.15
journal of plant resources and environment,Quartile 4,NS,0.13
journal of plasma physics,Quartile 2,NS,1.59
journal of plastic film and sheeting,Quartile 3,NS,1.24
journal of plastic surgery and hand surgery,Quartile 3,NS,0.9
"journal of plastic, reconstructive and aesthetic surgery",Quartile 2,NS,1.32
journal of poetry therapy,Quartile 3,NS,0.4
journal of police and criminal psychology,Quartile 1,Other,1.53
"journal of policing, intelligence and counter terrorism",Quartile 2,Other,0.71
journal of policy analysis and management,Quartile 1,EC,2.44
journal of policy and practice in intellectual disabilities,Quartile 3,Other,0.88
journal of policy history,Quartile 3,Other,0.41
journal of policy modeling,Quartile 2,EC,1.47
journal of policy practice,Quartile 3,Other,0.56
"journal of policy research in tourism, leisure and events",Quartile 1,Other,1.79
journal of politeness research,Quartile 1,Other,1.24
journal of political and military sociology,Quartile 4,Other,0.13
journal of political ecology,Quartile 1,NS,2.69
journal of political economy,Quartile 1,EC,6.56
journal of political ideologies,Quartile 1,Other,2.02
journal of political marketing,Quartile 1,Other,1.51
journal of political philosophy,Quartile 1,Other,2.44
journal of political power,Quartile 2,Other,0.79
journal of political science education,Quartile 1,Other,1.43
journal of politics,Quartile 1,Other,3.53
journal of politics in latin america,Quartile 2,Other,1.04
journal of polymer engineering,Quartile 3,NS,1.17
journal of polymer materials,Quartile 3,NS,0.52
journal of polymer research,Quartile 2,NS,1.61
"journal of polymer science, part a: polymer chemistry",Quartile 1,NS,2.56
"journal of polymer science, part b: polymer physics",Quartile 1,NS,2.58
journal of polymers and the environment,Quartile 1,NS,2.23
journal of popular culture,Quartile 1,Other,0.22
journal of popular film and television,Quartile 1,Other,0.24
journal of popular music studies,Quartile 2,Other,0.22
journal of population and social studies,Quartile 3,Other,0.24
journal of population economics,Quartile 1,Other,1.64
journal of population research,Quartile 2,Other,0.98
journal of population therapeutics and clinical pharmacology,Quartile 3,NS,0.89
journal of porous materials,Quartile 2,NS,1.84
journal of porous media,Quartile 2,NS,1.47
journal of porphyrins and phthalocyanines,Quartile 3,NS,1.22
journal of portfolio management,Quartile 3,EC,0.71
journal of positive behavior interventions,Quartile 1,Other,2.78
journal of positive psychology,Quartile 1,Other,3.73
journal of post keynesian economics,Quartile 3,EC,0.83
journal of postcolonial writing,Quartile 1,Other,0.23
journal of postgraduate medical institute,Quartile 3,NS,0.16
journal of postgraduate medicine,Quartile 2,NS,0.83
journal of poultry science,Quartile 3,NS,0.83
journal of poverty,Quartile 2,Other,0.95
journal of power electronics,Quartile 3,NS,1.23
journal of power sources,Quartile 1,NS,7.19
journal of practical oncology,Quartile 4,NS,0.02
journal of practice teaching and learning,Quartile 4,Other,0
journal of pragmatics,Quartile 1,Other,1.85
journal of pre-college engineering education research,Quartile 1,Other,3.26
journal of pregnancy,Quartile 2,NS,1.84
journal of pre-raphaelite studies-new series,Quartile 2,Other,0.11
journal of presbyterian history,Quartile 4,Other,0.05
"journal of pressure vessel technology, transactions of the asme",Quartile 2,NS,1.18
journal of prevention and intervention in the community,Quartile 3,Other,0.8
journal of preventive medicine and hygiene,Quartile 2,NS,1.66
journal of preventive medicine and public health,Quartile 2,NS,1.84
journal of primary care & community health,Quartile 2,NS,1.2
journal of primary health care,Quartile 4,NS,0.59
journal of primary prevention,Quartile 2,NS,1.65
journal of prime research in mathematics,Quartile 4,Other,0.32
journal of print and media technology research,Quartile 4,Other,0
journal of private enterprise,Quartile 4,EC,0.19
journal of private equity,Quartile 4,EC,0.08
journal of private international law,Quartile 2,Other,0.64
journal of probability and statistics,Quartile 4,Other,0.54
journal of problem solving,Quartile 3,Other,1.5
journal of process control,Quartile 1,Other,4.05
journal of product and brand management,Quartile 1,EC,2.59
journal of product innovation management,Quartile 1,EC,5.43
journal of productivity analysis,Quartile 1,Other,1.8
journal of professional issues in engineering education and practice,Quartile 1,EC,1.69
journal of professional nursing,Quartile 1,NS,1.89
journal of progressive human services,Quartile 2,Other,0.76
journal of promotion management,Quartile 3,EC,1.04
journal of property investment and finance,Quartile 2,EC,1.01
journal of property research,Quartile 2,Other,1.09
"journal of property, planning and environmental law",Quartile 2,Other,0.94
journal of propulsion and power,Quartile 1,NS,2.13
journal of prosthetic dentistry,Quartile 1,Other,2.72
journal of prosthetics and orthotics,Quartile 3,NS,0.6
journal of prosthodontic research,Quartile 1,Other,2.53
journal of prosthodontics,Quartile 1,Other,1.81
journal of protective coatings and linings,Quartile 4,NS,0.03
journal of proteome research,Quartile 1,NS,3.86
journal of proteomics,Quartile 1,NS,3.67
journal of pseudo-differential operators and applications,Quartile 3,Other,0.63
journal of psychiatric and mental health nursing,Quartile 1,NS,1.91
journal of psychiatric practice,Quartile 3,NS,1.1
journal of psychiatric research,Quartile 1,NS,4.25
journal of psychiatry and neuroscience,Quartile 1,NS,3.88
journal of psychoactive drugs,Quartile 2,Other,2.1
journal of psychoeducational assessment,Quartile 1,Other,1.67
journal of psycholinguistic research,Quartile 2,Other,0.7
journal of psychological and educational research,Quartile 4,Other,0.32
journal of psychologists and counsellors in schools,Quartile 3,Other,0.55
journal of psychology and theology,Quartile 1,Other,0.56
journal of psychology in africa,Quartile 3,Other,0.61
journal of psychology: interdisciplinary and applied,Quartile 1,EC,1.87
journal of psychopathology and behavioral assessment,Quartile 1,Other,2.45
journal of psychopharmacology,Quartile 1,NS,4.5
journal of psychophysiology,Quartile 4,NS,0.77
journal of psychosocial nursing and mental health services,Quartile 3,NS,0.65
journal of psychosocial oncology,Quartile 3,Other,1.28
journal of psychosomatic obstetrics and gynaecology,Quartile 1,Other,2.34
journal of psychosomatic research,Quartile 1,Other,3.1
journal of psychotherapy integration,Quartile 2,Other,1.03
journal of public administration research and theory,Quartile 1,EC,5.39
journal of public affairs,Quartile 2,Other,0.79
journal of public and international affairs,Quartile 4,Other,0
journal of public and nonprofit affairs,Quartile 3,EC,0.5
"journal of public budgeting, accounting and financial management",Quartile 4,EC,0.35
journal of public child welfare,Quartile 2,Other,1.2
journal of public deliberation,Quartile 2,Other,0.82
journal of public economic theory,Quartile 2,EC,1.2
journal of public economics,Quartile 1,EC,2.54
journal of public health,Quartile 2,NS,1.57
journal of public health dentistry,Quartile 2,Other,1.51
journal of public health in africa,Quartile 3,NS,0.78
journal of public health management and practice,Quartile 3,NS,1.09
journal of public health policy,Quartile 2,NS,1.48
journal of public health research,Quartile 3,NS,1.25
journal of public mental health,Quartile 3,NS,0.69
journal of public policy,Quartile 2,NS,2.09
journal of public policy and marketing,Quartile 1,EC,2.8
journal of public procurement,Quartile 3,Other,0.84
journal of public relations research,Quartile 1,Other,2.21
journal of public transportation,Quartile 2,Other,1.33
journal of punjab academy of forensic medicine and toxicology,Quartile 4,NS,0.05
journal of punjab studies,Quartile 4,Other,0.05
journal of purchasing and supply management,Quartile 1,EC,4.24
journal of pure and applied algebra,Quartile 2,Other,0.79
journal of pure and applied microbiology,Quartile 4,NS,0.18
journal of quality,Quartile 4,Other,0.13
journal of quality assurance in hospitality and tourism,Quartile 2,EC,1.78
journal of quality in maintenance engineering,Quartile 2,EC,1.71
journal of quality technology,Quartile 1,NS,2.17
journal of quantitative analysis in sports,Quartile 2,Other,1.67
journal of quantitative criminology,Quartile 1,Other,5.03
journal of quantitative linguistics,Quartile 1,Other,1.02
journal of quantitative spectroscopy and radiative transfer,Quartile 1,NS,2.96
journal of quaternary science,Quartile 1,Other,3.04
journal of qur'anic studies,Quartile 2,Other,0.15
"journal of race, ethnicity and politics",Quartile 1,Other,1.15
journal of racial and ethnic health disparities,Quartile 1,Other,1.75
journal of radars,Quartile 3,NS,1.06
journal of radiation research,Quartile 2,NS,2.11
journal of radio and audio media,Quartile 3,Other,0.59
journal of radioanalytical and nuclear chemistry,Quartile 2,NS,1.18
journal of radiological protection,Quartile 3,NS,1.22
journal of radiology case reports,Quartile 4,NS,0.65
journal of radiology nursing,Quartile 3,NS,0.25
journal of radiotherapy in practice,Quartile 4,NS,0.35
journal of rail transport planning and management,Quartile 2,Other,1.78
journal of railway engineering society,Quartile 4,NS,0.26
journal of raman spectroscopy,Quartile 2,NS,2.78
journal of rangeland science,Quartile 3,NS,0.61
journal of raptor research,Quartile 3,NS,0.85
journal of rare cardiovascular diseases,Quartile 4,NS,0
journal of rare earths,Quartile 1,NS,3.03
journal of rational - emotive and cognitive - behavior therapy,Quartile 2,Other,0.99
journal of real estate finance and economics,Quartile 2,EC,1.56
journal of real estate literature,Quartile 2,EC,0.75
journal of real estate portfolio management,Quartile 3,EC,0.7
journal of real estate research,Quartile 2,EC,1.3
journal of real-time image processing,Quartile 2,Other,2.14
journal of receptor and signal transduction research,Quartile 3,NS,1.92
"journal of receptor, ligand and channel research",Quartile 4,NS,0.67
journal of reconstructive microsurgery,Quartile 2,NS,1.48
journal of reformed theology,Quartile 3,Other,0.12
journal of refractive surgery,Quartile 1,NS,2.39
journal of refugee studies,Quartile 1,Other,2.11
journal of regional analysis and policy,Quartile 3,Other,0.38
journal of regional and city planning,Quartile 2,Other,0.81
journal of regional science,Quartile 1,Other,2.75
journal of registry management,Quartile 3,NS,0.28
journal of regulatory economics,Quartile 2,EC,1.02
journal of rehabilitation,Quartile 3,Other,0.55
journal of rehabilitation medicine,Quartile 1,NS,2.17
journal of reinforced plastics and composites,Quartile 2,NS,2.07
journal of relationship marketing,Quartile 3,EC,1.06
journal of relationships research,Quartile 4,Other,0.48
journal of religion,Quartile 1,Other,0.32
journal of religion and health,Quartile 1,NS,1.45
journal of religion and popular culture,Quartile 3,Other,0.06
journal of religion and spirituality in social work,Quartile 1,Other,0.77
journal of religion in africa,Quartile 1,Other,0.42
journal of religion in europe,Quartile 1,Other,0.29
journal of religion in japan,Quartile 2,Other,0.19
"journal of religion, spirituality and aging",Quartile 1,Other,0.63
journal of religious and theological information,Quartile 2,Other,0.19
journal of religious ethics,Quartile 1,Other,0.54
journal of religious history,Quartile 1,Other,0.37
journal of remanufacturing,Quartile 1,NS,2.31
journal of renal care,Quartile 2,NS,1.07
journal of renal injury prevention,Quartile 3,NS,0.81
journal of renal nutrition,Quartile 2,NS,2.05
journal of renewable and sustainable energy,Quartile 3,NS,1.7
journal of renewable materials,Quartile 2,NS,1.2
journal of reports in pharmaceutical sciences,Quartile 3,NS,0.57
journal of reproduction and development,Quartile 1,NS,1.69
journal of reproduction and infertility,Quartile 2,NS,1.55
journal of reproductive and infant psychology,Quartile 2,Other,1.23
journal of reproductive immunology,Quartile 1,NS,2.53
journal of research in applied linguistics,Quartile 3,Other,0.09
journal of research in childhood education,Quartile 3,Other,0.79
journal of research in crime and delinquency,Quartile 1,Other,4.49
journal of research in education sciences,Quartile 4,Other,0.21
journal of research in gender studies,Quartile 1,Other,2.32
journal of research in health sciences,Quartile 2,NS,1.34
journal of research in interactive marketing,Quartile 1,EC,2.81
journal of research in international education,Quartile 2,Other,1.26
journal of research in marketing and entrepreneurship,Quartile 2,EC,1.12
journal of research in medical sciences,Quartile 1,NS,1.32
journal of research in music education,Quartile 1,Other,0.99
journal of research in nursing,Quartile 4,NS,0.52
journal of research in personality,Quartile 1,Other,3.46
journal of research in reading,Quartile 1,Other,1.69
journal of research in science teaching,Quartile 1,Other,4.31
journal of research in special educational needs,Quartile 4,Other,0.33
journal of research of the national institute of standards and technology,Quartile 1,NS,1.77
journal of research on adolescence,Quartile 1,Other,2.63
journal of research on christian education,Quartile 3,Other,0.12
journal of research on educational effectiveness,Quartile 1,Other,2.38
journal of research on technology in education,Quartile 1,Other,2.76
journal of research on the lepidoptera,Quartile 4,NS,0.17
journal of research practice,Quartile 2,Other,1.24
journal of responsible innovation,Quartile 2,EC,1.78
journal of retailing,Quartile 1,EC,8.12
journal of retailing and consumer services,Quartile 1,EC,4.53
journal of revenue and pricing management,Quartile 3,EC,0.72
journal of reviews on global economics,Quartile 4,EC,0.22
journal of rheology,Quartile 1,NS,3.28
journal of rheumatology,Quartile 2,NS,2.67
journal of risk,Quartile 3,EC,0.82
journal of risk and insurance,Quartile 1,EC,1.97
journal of risk and uncertainty,Quartile 1,EC,2.38
journal of risk finance,Quartile 2,EC,0.96
journal of risk model validation,Quartile 3,EC,0.49
journal of risk research,Quartile 1,Other,1.62
journal of rnai and gene silencing,Quartile 4,NS,0.38
journal of robotic surgery,Quartile 2,NS,1.47
journal of robotics,Quartile 2,Other,1.11
journal of robotics and mechatronics,Quartile 3,NS,0.85
journal of rock mechanics and geotechnical engineering,Quartile 1,NS,3.54
journal of roman archaeology,Quartile 1,Other,0.48
journal of roman studies,Quartile 1,Other,0.75
journal of romance studies,Quartile 3,Other,0.07
journal of rural development,Quartile 4,Other,0.06
journal of rural health,Quartile 2,NS,2.15
journal of rural studies,Quartile 1,Other,3.73
journal of russian laser research,Quartile 3,NS,0.74
journal of safety research,Quartile 1,NS,3.08
journal of safog,Quartile 4,NS,0.04
journal of sandwich structures and materials,Quartile 1,NS,3.26
journal of saudi chemical society,Quartile 1,NS,3.23
journal of scandinavian cinema,Quartile 3,Other,0.06
journal of scandinavian studies in criminology and crime prevention,Quartile 2,Other,0.74
journal of scheduling,Quartile 1,NS,1.96
journal of scholarly publishing,Quartile 2,Other,1.08
journal of school choice,Quartile 3,Other,0.69
journal of school health,Quartile 1,Other,2.11
journal of school nursing,Quartile 1,NS,1.7
journal of school psychology,Quartile 1,Other,4.11
journal of school violence,Quartile 1,Other,2.81
journal of science and medicine in sport,Quartile 1,NS,3.84
journal of science and technology of the arts,Quartile 4,Other,0.03
journal of science and technology policy management,Quartile 1,EC,2.02
journal of science communication,Quartile 2,Other,0.81
journal of science education,Quartile 4,Other,0.1
journal of science education and technology,Quartile 1,Other,2.46
journal of science teacher education,Quartile 2,Other,1.47
journal of science: advanced materials and devices,Quartile 1,NS,3.37
"journal of sciences, islamic republic of iran",Quartile 2,NS,0.58
journal of scientific and industrial research,Quartile 2,NS,0.62
journal of scientific computing,Quartile 1,Other,2.39
journal of scleroderma and related disorders,Quartile 3,NS,1.84
journal of screenwriting,Quartile 1,Other,0.22
journal of sea research,Quartile 2,NS,2.15
journal of second language writing,Quartile 1,Other,3.13
journal of security and sustainability issues,Quartile 2,Other,1.72
journal of sedimentary research,Quartile 1,NS,2.7
journal of seed science,Quartile 3,NS,0.81
journal of seismic exploration,Quartile 1,NS,4.74
journal of seismology,Quartile 2,NS,1.45
journal of semantics,Quartile 1,Other,1.57
journal of semiconductor technology and science,Quartile 4,NS,0.43
journal of semiconductors,Quartile 3,NS,1
journal of semitic studies,Quartile 2,Other,0.18
journal of sensor and actuator networks,Quartile 1,Other,2.58
journal of sensors,Quartile 2,NS,1.99
journal of sensors and sensor systems,Quartile 2,NS,1.36
journal of sensory studies,Quartile 2,NS,2.08
journal of separation science,Quartile 2,NS,2.35
journal of septuagint and cognate studies,Quartile 4,Other,0
journal of service management,Quartile 1,EC,4.69
journal of service research,Quartile 1,EC,8.04
journal of service theory and practice,Quartile 1,EC,2.99
journal of services marketing,Quartile 1,EC,3.65
journal of settlements and spatial planning,Quartile 4,Other,0.2
journal of sex and marital therapy,Quartile 2,Other,1.87
journal of sex research,Quartile 1,Other,3.36
journal of sexual aggression,Quartile 4,NS,1.5
journal of sexual medicine,Quartile 1,NS,2.95
journal of shanghai jiaotong university (medical science),Quartile 4,NS,0.03
journal of shanghai jiaotong university (science),Quartile 3,NS,0.42
journal of shellfish research,Quartile 3,NS,1.11
journal of ship production and design,Quartile 3,NS,0.51
journal of ship research,Quartile 1,Other,1.98
journal of shoulder and elbow surgery,Quartile 1,NS,3.05
journal of siberian federal university - mathematics and physics,Quartile 4,Other,0.29
journal of sichuan university (medical science edition),Quartile 4,NS,0.17
journal of signal processing systems,Quartile 3,NS,1
journal of silk,Quartile 2,Other,0.18
journal of simulation,Quartile 2,Other,1.67
journal of singularities,Quartile 4,Other,0.47
journal of skin cancer,Quartile 3,NS,0.88
journal of slavic linguistics,Quartile 4,Other,0.06
journal of slavic military studies,Quartile 1,Other,0.46
journal of sleep research,Quartile 1,NS,3.6
journal of small animal practice,Quartile 2,NS,1.23
journal of small business and enterprise development,Quartile 1,EC,2.12
journal of small business and entrepreneurship,Quartile 2,EC,1.06
journal of small business management,Quartile 1,EC,5.29
journal of small business strategy,Quartile 2,EC,1.81
journal of smoking cessation,Quartile 3,NS,0.53
journal of smooth muscle research,Quartile 4,NS,1.44
journal of social and clinical psychology,Quartile 2,Other,1.52
journal of social and personal relationships,Quartile 1,Other,1.86
journal of social and political psychology,Quartile 1,Other,2.52
journal of social archaeology,Quartile 1,Other,1.88
journal of social distress and the homeless,Quartile 2,Other,0.94
journal of social entrepreneurship,Quartile 1,EC,1.84
journal of social history,Quartile 1,Other,0.57
journal of social issues,Quartile 1,Other,2.56
journal of social marketing,Quartile 2,EC,1.84
journal of social ontology,Quartile 1,Other,0.83
journal of social philosophy,Quartile 1,Other,0.67
journal of social policy,Quartile 1,NS,2.84
journal of social psychology,Quartile 2,Other,1.44
journal of social research and policy,Quartile 4,Other,0.11
journal of social science education,Quartile 4,Other,0.35
journal of social service research,Quartile 2,Other,0.91
journal of social structure,Quartile 2,Other,0.94
journal of social studies education research,Quartile 1,Other,2
journal of social studies research,Quartile 2,Other,1.18
journal of social welfare and family law,Quartile 2,Other,0.54
journal of social work,Quartile 2,Other,1.36
journal of social work education,Quartile 2,Other,1.07
journal of social work in disability and rehabilitation,Quartile 2,Other,0.66
journal of social work in end-of-life and palliative care,Quartile 3,Other,0.71
journal of social work practice,Quartile 1,NS,0.75
journal of social work practice in the addictions,Quartile 3,Other,0.72
"journal of social, political, and economic studies",Quartile 4,EC,0.05
journal of sociolinguistics,Quartile 1,Other,1.67
journal of sociology,Quartile 2,Other,1.42
journal of sociology and social welfare,Quartile 3,Other,0.49
journal of software: evolution and process,Quartile 2,Other,1.91
journal of soil science and plant nutrition,Quartile 1,NS,2.49
journal of soils and sediments,Quartile 1,NS,2.9
journal of soils and water conservation,Quartile 1,NS,2.07
"journal of solar energy engineering, transactions of the asme",Quartile 2,NS,1.5
journal of sol-gel science and technology,Quartile 2,NS,1.97
journal of solid mechanics,Quartile 3,NS,0.68
journal of solid state chemistry,Quartile 2,NS,2.27
journal of solid state electrochemistry,Quartile 2,NS,2.41
journal of solid waste technology and management,Quartile 4,NS,0.36
journal of solution chemistry,Quartile 3,NS,1.23
journal of sound and vibration,Quartile 1,NS,3.75
journal of south american earth sciences,Quartile 2,NS,1.98
journal of south asian development,Quartile 1,Other,0.75
journal of south india medicolegal association,Quartile 4,NS,0.15
journal of southeast asian economies,Quartile 3,Other,0.25
journal of southeast asian studies,Quartile 1,Other,0.43
journal of southeast european and black sea studies,Quartile 1,Other,1.61
journal of southeast university (english edition),Quartile 4,NS,0.23
journal of southern african studies,Quartile 2,Other,0.8
journal of southern hemisphere earth systems science,Quartile 4,NS,0.57
journal of southern history,Quartile 1,Other,0.67
journal of space safety engineering,Quartile 4,NS,0.24
journal of space weather and space climate,Quartile 2,NS,2.25
journal of spacecraft and rockets,Quartile 2,NS,1.81
journal of spanish cultural studies,Quartile 2,Other,0.28
journal of spanish language teaching,Quartile 2,Other,0.47
journal of spatial information science,Quartile 2,NS,1.64
journal of spatial science,Quartile 2,NS,1.5
journal of special education,Quartile 1,Other,2.43
journal of special education and rehabilitation,Quartile 4,Other,0.14
journal of special operations medicine : a peer reviewed journal for sof medical professionals,Quartile 2,NS,0.52
journal of spectral imaging,Quartile 3,NS,1.53
journal of spectral theory,Quartile 2,Other,1
journal of spectroscopy,Quartile 3,NS,1.29
journal of speculative philosophy,Quartile 2,Other,0.23
"journal of speech, language, and hearing research",Quartile 1,Other,2.09
journal of spinal cord medicine,Quartile 3,NS,1.76
journal of spirituality in mental health,Quartile 1,Other,0.87
journal of sport and exercise psychology,Quartile 1,Other,2.98
journal of sport and health science,Quartile 1,NS,2.43
journal of sport and social issues,Quartile 1,Other,2.14
journal of sport and tourism,Quartile 2,EC,1.89
journal of sport history,Quartile 2,Other,0.37
journal of sport management,Quartile 1,EC,2.87
journal of sport psychology in action,Quartile 3,Other,1.35
journal of sport rehabilitation,Quartile 2,NS,1.26
journal of sports economics,Quartile 1,EC,1.43
journal of sports medicine and physical fitness,Quartile 3,NS,1.16
journal of sports science and medicine,Quartile 1,NS,2.22
journal of sports sciences,Quartile 1,NS,2.79
journal of statistical computation and simulation,Quartile 2,Other,1.01
journal of statistical mechanics: theory and experiment,Quartile 1,Other,2
journal of statistical physics,Quartile 2,Other,1.52
journal of statistical planning and inference,Quartile 3,Other,0.92
journal of statistical software,Quartile 1,Other,25.02
journal of statistical theory and practice,Quartile 3,Other,0.6
journal of statistics education,Quartile 2,Other,0.98
journal of stem cells,Quartile 3,NS,0.97
journal of stem cells and regenerative medicine,Quartile 3,NS,1.53
journal of steroid biochemistry and molecular biology,Quartile 1,NS,3.73
journal of stomatology,Quartile 4,Other,0.07
"journal of stomatology, oral and maxillofacial surgery",Quartile 3,Other,0.46
journal of stored products research,Quartile 1,NS,2.37
journal of strain analysis for engineering design,Quartile 2,Other,1.4
journal of strategic information systems,Quartile 1,EC,6.26
journal of strategic marketing,Quartile 2,EC,2.15
journal of strategic security,Quartile 2,Other,0.58
journal of strategic studies,Quartile 1,Other,1.41
journal of strategy and management,Quartile 2,EC,1.53
journal of strength and conditioning research,Quartile 1,NS,2.59
journal of stroke,Quartile 1,NS,4.05
journal of stroke and cerebrovascular diseases,Quartile 1,NS,1.78
journal of structural and construction engineering,Quartile 2,NS,0.32
journal of structural biology,Quartile 1,NS,3.99
journal of structural chemistry,Quartile 4,NS,0.52
journal of structural engineering,Quartile 1,NS,2.95
journal of structural engineering (madras),Quartile 4,NS,0.12
journal of structural fire engineering,Quartile 3,NS,0.73
journal of structural geology,Quartile 1,NS,3.08
journal of structured finance,Quartile 4,EC,0.09
journal of student affairs research and practice,Quartile 3,Other,0.64
journal of studies in international education,Quartile 1,Other,3.48
journal of studies on alcohol and drugs,Quartile 1,Other,2.48
journal of substance abuse treatment,Quartile 1,Other,2.75
journal of substance use,Quartile 3,Other,0.74
journal of sufi studies,Quartile 2,Other,0.14
journal of sulfur chemistry,Quartile 2,NS,1.4
journal of supercomputing,Quartile 1,Other,2.38
journal of superconductivity and novel magnetism,Quartile 3,NS,1.12
journal of supercritical fluids,Quartile 1,NS,3.76
journal of superhard materials,Quartile 3,NS,0.75
journal of supply chain management,Quartile 1,EC,8.17
journal of surface investigation,Quartile 4,NS,0.48
journal of surface science and technology,Quartile 4,NS,0.39
journal of surfactants and detergents,Quartile 2,NS,1.81
journal of surgical education,Quartile 1,Other,1.99
journal of surgical oncology,Quartile 1,NS,2.88
journal of surgical research,Quartile 1,NS,2.01
journal of survey statistics and methodology,Quartile 2,Other,1.39
"journal of surveying engineering, - asce",Quartile 1,NS,2.46
journal of sustainability science and management,Quartile 3,Other,0.68
journal of sustainable cement-based materials,Quartile 2,NS,1.98
"journal of sustainable development of energy, water and environment systems",Quartile 2,NS,1.41
journal of sustainable finance and investment,Quartile 2,EC,1.34
journal of sustainable forestry,Quartile 2,NS,1.34
journal of sustainable metallurgy,Quartile 3,NS,0.68
journal of sustainable mining,Quartile 2,NS,1.61
journal of sustainable tourism,Quartile 1,EC,4.06
journal of swine health and production,Quartile 3,NS,0.52
journal of symbolic computation,Quartile 1,Other,1.04
journal of symbolic logic,Quartile 1,Other,0.73
journal of symplectic geometry,Quartile 2,Other,0.9
journal of synchrotron radiation,Quartile 1,NS,2.68
journal of systematic palaeontology,Quartile 1,NS,2.23
journal of systematics and evolution,Quartile 1,NS,4.22
journal of systems and information technology,Quartile 2,Other,1.79
journal of systems and software,Quartile 1,Other,4.25
journal of systems architecture,Quartile 3,Other,1.55
journal of systems engineering and electronics,Quartile 3,Other,1.17
journal of systems science and complexity,Quartile 3,Other,1.05
journal of systems science and systems engineering,Quartile 3,NS,1.36
journal of taibah university medical sciences,Quartile 2,NS,0.78
journal of taiwan agricultural engineering,Quartile 4,NS,0.02
journal of taiwan society of naval architects and marine engineers,Quartile 4,NS,0.07
journal of taxation,Quartile 4,EC,0.01
journal of teacher education,Quartile 1,Other,4.34
journal of teacher education for sustainability,Quartile 1,Other,1.65
journal of teaching in international business,Quartile 3,EC,0.74
journal of teaching in physical education,Quartile 1,Other,1.82
journal of teaching in social work,Quartile 2,Other,0.74
journal of teaching in travel and tourism,Quartile 3,EC,0.84
journal of technical education and training,Quartile 4,Other,0.27
journal of technical writing and communication,Quartile 2,Other,1.23
journal of technology,Quartile 4,NS,0.07
journal of technology and science education,Quartile 3,Other,0.5
journal of technology education,Quartile 2,Other,1.19
